"scaled_tacr","av_propStock","impyear"
-50,0.44219440353461,"2013"
-49,0.448091820460242,"2013"
-48,0.495752895752896,"2013"
-47,0.606390859852164,"2013"
-46,0.578167087542088,"2013"
-45,0.638213347570008,"2013"
-44,0.495248960903698,"2013"
-43,0.509833667273247,"2013"
-42,0.487067802353598,"2013"
-41,0.421840669715906,"2013"
-40,0.507274571351602,"2013"
-39,0.427763511577659,"2013"
-38,0.336386138356968,"2013"
-37,0.391024673729722,"2013"
-36,0.385932493665487,"2013"
-35,0.396886887597749,"2013"
-34,0.293133456479533,"2013"
-33,0.419134681214949,"2013"
-32,0.296291225736715,"2013"
-31,0.296005388181993,"2013"
-30,0.204596722797387,"2013"
-29,0.241224341656247,"2013"
-28,0.224839225784493,"2013"
-27,0.227003591420984,"2013"
-26,0.31012722347211,"2013"
-25,0.304104024224094,"2013"
-24,0.272331410520829,"2013"
-23,0.263505476967069,"2013"
-22,0.158197239048801,"2013"
-21,0.151402708941884,"2013"
-20,0.151996872610443,"2013"
-19,0.173131222161186,"2013"
-18,0.161705246245545,"2013"
-17,0.169736607969645,"2013"
-16,0.187038819755957,"2013"
-15,0.17868837748481,"2013"
-14,0.183122822819716,"2013"
-13,0.181699521692458,"2013"
-12,0.179439030185093,"2013"
-11,0.162366113702033,"2013"
-10,0.167697832292551,"2013"
-9,0.15406400224306,"2013"
-8,0.134120882746562,"2013"
-7,0.14708455507932,"2013"
-6,0.13038879872722,"2013"
-5,0.144955272738632,"2013"
-4,0.125562253460612,"2013"
-3,0.11979274385735,"2013"
-2,0.124185157764237,"2013"
-1,0.142269617057933,"2013"
0,0.149497246556925,"2013"
1,0.13558782688418,"2013"
2,0.0841568201904192,"2013"
3,0.0678528373388593,"2013"
4,0.042100040793207,"2013"
5,0.0547964172215149,"2013"
6,0.0597863552722974,"2013"
-63,1,"2017"
-62,1,"2017"
-61,1,"2017"
-60,1,"2017"
-59,1,"2017"
-58,1,"2017"
-57,1,"2017"
-56,1,"2017"
-55,1,"2017"
-54,0.44219440353461,"2017"
-53,0.448091820460242,"2017"
-52,0.495752895752896,"2017"
-51,0.606390859852164,"2017"
-50,0.578167087542088,"2017"
-49,0.638213347570008,"2017"
-48,0.495248960903698,"2017"
-47,0.509833667273247,"2017"
-46,0.487067802353598,"2017"
-45,0.421840669715906,"2017"
-44,0.507274571351602,"2017"
-43,0.427763511577659,"2017"
-42,0.336386138356968,"2017"
-41,0.391024673729722,"2017"
-40,0.385932493665487,"2017"
-39,0.396886887597749,"2017"
-38,0.293133456479533,"2017"
-37,0.419134681214949,"2017"
-36,0.296291225736715,"2017"
-35,0.296005388181993,"2017"
-34,0.204596722797387,"2017"
-33,0.241224341656247,"2017"
-32,0.224839225784493,"2017"
-31,0.227003591420984,"2017"
-30,0.31012722347211,"2017"
-29,0.304104024224094,"2017"
-28,0.272331410520829,"2017"
-27,0.263505476967069,"2017"
-26,0.158197239048801,"2017"
-25,0.151402708941884,"2017"
-24,0.151996872610443,"2017"
-23,0.173131222161186,"2017"
-22,0.161705246245545,"2017"
-21,0.169736607969645,"2017"
-20,0.187038819755957,"2017"
-19,0.17868837748481,"2017"
-18,0.183122822819716,"2017"
-17,0.181699521692458,"2017"
-16,0.179439030185093,"2017"
-15,0.162366113702033,"2017"
-14,0.167697832292551,"2017"
-13,0.15406400224306,"2017"
-12,0.134120882746562,"2017"
-11,0.14708455507932,"2017"
-10,0.13038879872722,"2017"
-9,0.144955272738632,"2017"
-8,0.125562253460612,"2017"
-7,0.11979274385735,"2017"
-6,0.124185157764237,"2017"
-5,0.142269617057933,"2017"
-4,0.149497246556925,"2017"
-3,0.13558782688418,"2017"
-2,0.0841568201904192,"2017"
-1,0.0678528373388593,"2017"
0,0.042100040793207,"2017"
1,0.0547964172215149,"2017"
2,0.0597863552722974,"2017"
-65,1,"2019"
-64,1,"2019"
-63,1,"2019"
-62,1,"2019"
-61,1,"2019"
-60,1,"2019"
-59,1,"2019"
-58,1,"2019"
-57,1,"2019"
-56,0.44219440353461,"2019"
-55,0.448091820460242,"2019"
-54,0.495752895752896,"2019"
-53,0.606390859852164,"2019"
-52,0.578167087542088,"2019"
-51,0.638213347570008,"2019"
-50,0.495248960903698,"2019"
-49,0.509833667273247,"2019"
-48,0.487067802353598,"2019"
-47,0.421840669715906,"2019"
-46,0.507274571351602,"2019"
-45,0.427763511577659,"2019"
-44,0.336386138356968,"2019"
-43,0.391024673729722,"2019"
-42,0.385932493665487,"2019"
-41,0.396886887597749,"2019"
-40,0.293133456479533,"2019"
-39,0.419134681214949,"2019"
-38,0.296291225736715,"2019"
-37,0.296005388181993,"2019"
-36,0.204596722797387,"2019"
-35,0.241224341656247,"2019"
-34,0.224839225784493,"2019"
-33,0.227003591420984,"2019"
-32,0.31012722347211,"2019"
-31,0.304104024224094,"2019"
-30,0.272331410520829,"2019"
-29,0.263505476967069,"2019"
-28,0.158197239048801,"2019"
-27,0.151402708941884,"2019"
-26,0.151996872610443,"2019"
-25,0.173131222161186,"2019"
-24,0.161705246245545,"2019"
-23,0.169736607969645,"2019"
-22,0.187038819755957,"2019"
-21,0.17868837748481,"2019"
-20,0.183122822819716,"2019"
-19,0.181699521692458,"2019"
-18,0.179439030185093,"2019"
-17,0.162366113702033,"2019"
-16,0.167697832292551,"2019"
-15,0.15406400224306,"2019"
-14,0.134120882746562,"2019"
-13,0.14708455507932,"2019"
-12,0.13038879872722,"2019"
-11,0.144955272738632,"2019"
-10,0.125562253460612,"2019"
-9,0.11979274385735,"2019"
-8,0.124185157764237,"2019"
-7,0.142269617057933,"2019"
-6,0.149497246556925,"2019"
-5,0.13558782688418,"2019"
-4,0.0841568201904192,"2019"
-3,0.0678528373388593,"2019"
-2,0.042100040793207,"2019"
-1,0.0547964172215149,"2019"
0,0.0597863552722974,"2019"
